,mAP@50:95,mAP@50,mAP@75,mAP_s,mAP_m,mAP_l,delta_mAP@50:95,delta_mAP@50,delta_mAP@75,delta_mAP_s,delta_mAP_m,delta_mAP_l,Model Checkpoint,Parent Checkpoint,KNK scale,lambda kd,lambda score,loss weight
Key frame,0.483,0.807,,,,,,,,,,,models/kndetr_mot17_old.pth,,--,,,
,,,,,,,,,,,,,,,,,,
Level 0 K,0.483,0.807,,,,,,,,,,,output/phase1_mot17_level0/01_506_823.pth,,--,,,
Level 0 NK,0.506,0.823,,,,,,,,,,,output/phase1_mot17_level0/01_506_823.pth,,--,,,
,,,,,,,,,,,,,,,,,,
Level 1 K,0.4822,0.8091,0.5125,0.0883,0.335,0.6211,-0.0005,-0.0047,0.0073,-0.0127,0.0124,-0.0075,,,--,,,
Level 1 NK,0.4822,0.8025,0.5221,0.0644,0.3649,0.608,,,,,,,output/phase1_mot17_level1_v2/05_482_802.pth,output/phase1_mot17_level0/01_506_823.pth,--,0,15,1:7
Level 1 Combined,0.4817,0.8044,0.5198,0.0756,0.3474,0.6136,,,,,,,output/phase1_mot17_level1_v2/05_482_802.pth,output/phase1_mot17_level0/01_506_823.pth,1.03,,,
Level 1 NK (baseline),0.4448,0.7831,0.4627,0.0642,0.3113,0.5723,0.0374,0.0194,0.0594,0.0002,0.0536,0.0357,--,,,,,
Level 1 Combined (baseline),0.4632,0.7968,0.4872,0.0772,0.3229,0.5959,0.0185,0.0076,0.0326,-0.0016,0.0245,0.0177,--,,,,,
,,,,,,,,,,,,,,,,,,
Skip 1 K,0.4817,0.8096,0.5113,0.0932,0.3338,0.6212,-0.0022,-0.0063,0.0072,-0.0154,0.0102,-0.0081,,,--,,,
Skip 1 NK,0.4776,0.7951,0.5166,0.0679,0.3539,0.6065,,,,,,,output/phase1_mot17_skip1_v2/06_477_794.pth,output/phase1_mot17_level1/07_478_791.pth,--,0,10,1:9
Skip 1 Combined,0.4795,0.8033,0.5185,0.0778,0.344,0.6131,,,,,,,output/phase1_mot17_skip1_v2/06_477_794.pth,output/phase1_mot17_level1/07_478_791.pth,1.05,,,
Skip 1 NK (baseline),0.4066,0.7514,0.4038,0.0487,0.2915,0.5196,0.071,0.0437,0.1128,0.0192,0.0624,0.0869,--,,,,,
Skip 1 Combined (baseline),0.4429,0.7811,0.4559,0.0678,0.3122,0.568,0.0366,0.0222,0.0626,0.01,0.0318,0.0451,--,,,,,
,,,,,,,,,,,,,,,,,,
Skip 2 K,0.482,0.8096,0.5147,0.0887,0.3352,0.6203,-0.012,-0.024,-0.0091,-0.017,0.0134,-0.022,,,--,,,
Skip 2 NK,0.47,0.7856,0.5056,0.0717,0.3486,0.5983,,,,,,,output/phase1_mot17_skip2_v2/08_469_785.pth,output/phase1_mot17_skip1/07_474_792.pth,--,0,10,1:9
Skip 2 Combined,0.4746,0.7965,0.5118,0.0793,0.3409,0.6076,,,,,,,output/phase1_mot17_skip2_v2/08_469_785.pth,output/phase1_mot17_skip1/07_474_792.pth,1.05,,,
